Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Year,Round,Circuit_race,Position_quali,DriverNumber_quali,TeamName_quali,Circuit_quali
7.0,RAI,7,Alfa Romeo Racing,10.0,2019,12,Budapest,10.0,7,Alfa Romeo Racing,Budapest
8.0,BOT,77,Mercedes,2.0,2019,12,Budapest,2.0,77,Mercedes,Budapest
9.0,NOR,4,McLaren,7.0,2019,12,Budapest,7.0,4,McLaren,Budapest
10.0,ALB,23,Toro Rosso,12.0,2019,12,Budapest,12.0,23,Toro Rosso,Budapest
11.0,PER,11,Racing Point,16.0,2019,12,Budapest,17.0,11,Racing Point,Budapest
12.0,HUL,27,Renault,11.0,2019,12,Budapest,11.0,27,Renault,Budapest
13.0,MAG,20,Haas F1 Team,14.0,2019,12,Budapest,15.0,20,Haas F1 Team,Budapest
14.0,RIC,3,Renault,20.0,2019,12,Budapest,18.0,3,Renault,Budapest
15.0,KVY,26,Toro Rosso,13.0,2019,12,Budapest,13.0,26,Toro Rosso,Budapest
16.0,RUS,63,Williams,15.0,2019,12,Budapest,16.0,63,Williams,Budapest
17.0,STR,18,Racing Point,18.0,2019,12,Budapest,19.0,18,Racing Point,Budapest
18.0,GIO,99,Alfa Romeo Racing,17.0,2019,12,Budapest,14.0,99,Alfa Romeo Racing,Budapest
19.0,KUB,88,Williams,19.0,2019,12,Budapest,20.0,88,Williams,Budapest
20.0,GRO,8,Haas F1 Team,9.0,2019,12,Budapest,9.0,8,Haas F1 Team,Budapest
1.0,LEC,16,Ferrari,1.0,2019,13,Spa-Francorchamps,1.0,16,Ferrari,Spa-Francorchamps
2.0,HAM,44,Mercedes,3.0,2019,13,Spa-Francorchamps,3.0,44,Mercedes,Spa-Francorchamps
3.0,BOT,77,Mercedes,4.0,2019,13,Spa-Francorchamps,4.0,77,Mercedes,Spa-Francorchamps
4.0,VET,5,Ferrari,2.0,2019,13,Spa-Francorchamps,2.0,5,Ferrari,Spa-Francorchamps
5.0,ALB,23,Red Bull Racing,17.0,2019,13,Spa-Francorchamps,14.0,23,Red Bull Racing,Spa-Francorchamps
6.0,PER,11,Racing Point,7.0,2019,13,Spa-Francorchamps,9.0,11,Racing Point,Spa-Francorchamps
7.0,KVY,26,Toro Rosso,19.0,2019,13,Spa-Francorchamps,18.0,26,Toro Rosso,Spa-Francorchamps
8.0,HUL,27,Renault,12.0,2019,13,Spa-Francorchamps,7.0,27,Renault,Spa-Francorchamps
9.0,GAS,10,Toro Rosso,13.0,2019,13,Spa-Francorchamps,16.0,10,Toro Rosso,Spa-Francorchamps
10.0,STR,18,Racing Point,16.0,2019,13,Spa-Francorchamps,13.0,18,Racing Point,Spa-Francorchamps
11.0,NOR,4,McLaren,11.0,2019,13,Spa-Francorchamps,12.0,4,McLaren,Spa-Francorchamps
12.0,MAG,20,Haas F1 Team,8.0,2019,13,Spa-Francorchamps,10.0,20,Haas F1 Team,Spa-Francorchamps
13.0,GRO,8,Haas F1 Team,9.0,2019,13,Spa-Francorchamps,11.0,8,Haas F1 Team,Spa-Francorchamps
14.0,RIC,3,Renault,10.0,2019,13,Spa-Francorchamps,6.0,3,Renault,Spa-Francorchamps
15.0,RUS,63,Williams,14.0,2019,13,Spa-Francorchamps,19.0,63,Williams,Spa-Francorchamps
16.0,RAI,7,Alfa Romeo Racing,6.0,2019,13,Spa-Francorchamps,8.0,7,Alfa Romeo Racing,Spa-Francorchamps
17.0,KUB,88,Williams,0.0,2019,13,Spa-Francorchamps,20.0,88,Williams,Spa-Francorchamps
18.0,GIO,99,Alfa Romeo Racing,18.0,2019,13,Spa-Francorchamps,15.0,99,Alfa Romeo Racing,Spa-Francorchamps
19.0,SAI,55,McLaren,15.0,2019,13,Spa-Francorchamps,17.0,55,McLaren,Spa-Francorchamps
20.0,VER,33,Red Bull Racing,5.0,2019,13,Spa-Francorchamps,5.0,33,Red Bull Racing,Spa-Francorchamps
1.0,LEC,16,Ferrari,1.0,2019,14,Monza,1.0,16,Ferrari,Monza
2.0,BOT,77,Mercedes,3.0,2019,14,Monza,3.0,77,Mercedes,Monza
3.0,HAM,44,Mercedes,2.0,2019,14,Monza,2.0,44,Mercedes,Monza
4.0,RIC,3,Renault,5.0,2019,14,Monza,5.0,3,Renault,Monza
5.0,HUL,27,Renault,6.0,2019,14,Monza,6.0,27,Renault,Monza
6.0,ALB,23,Red Bull Racing,8.0,2019,14,Monza,8.0,23,Red Bull Racing,Monza
7.0,PER,11,Racing Point,18.0,2019,14,Monza,17.0,11,Racing Point,Monza
8.0,VER,33,Red Bull Racing,19.0,2019,14,Monza,20.0,33,Red Bull Racing,Monza
9.0,GIO,99,Alfa Romeo Racing,10.0,2019,14,Monza,11.0,99,Alfa Romeo Racing,Monza
10.0,NOR,4,McLaren,16.0,2019,14,Monza,14.0,4,McLaren,Monza
11.0,GAS,10,Toro Rosso,17.0,2019,14,Monza,15.0,10,Toro Rosso,Monza
12.0,STR,18,Racing Point,9.0,2019,14,Monza,9.0,18,Racing Point,Monza
13.0,VET,5,Ferrari,4.0,2019,14,Monza,4.0,5,Ferrari,Monza
14.0,RUS,63,Williams,14.0,2019,14,Monza,18.0,63,Williams,Monza
15.0,RAI,7,Alfa Romeo Racing,0.0,2019,14,Monza,10.0,7,Alfa Romeo Racing,Monza
16.0,GRO,8,Haas F1 Team,13.0,2019,14,Monza,16.0,8,Haas F1 Team,Monza
17.0,KUB,88,Williams,15.0,2019,14,Monza,19.0,88,Williams,Monza
18.0,MAG,20,Haas F1 Team,11.0,2019,14,Monza,12.0,20,Haas F1 Team,Monza
19.0,KVY,26,Toro Rosso,12.0,2019,14,Monza,13.0,26,Toro Rosso,Monza
20.0,SAI,55,McLaren,7.0,2019,14,Monza,7.0,55,McLaren,Monza
1.0,VET,5,Ferrari,3.0,2019,15,Singapore,3.0,5,Ferrari,Singapore
2.0,LEC,16,Ferrari,1.0,2019,15,Singapore,1.0,16,Ferrari,Singapore
3.0,VER,33,Red Bull Racing,4.0,2019,15,Singapore,4.0,33,Red Bull Racing,Singapore
4.0,HAM,44,Mercedes,2.0,2019,15,Singapore,2.0,44,Mercedes,Singapore
5.0,BOT,77,Mercedes,5.0,2019,15,Singapore,5.0,77,Mercedes,Singapore
6.0,ALB,23,Red Bull Racing,6.0,2019,15,Singapore,6.0,23,Red Bull Racing,Singapore
7.0,NOR,4,McLaren,9.0,2019,15,Singapore,9.0,4,McLaren,Singapore
8.0,GAS,10,Toro Rosso,11.0,2019,15,Singapore,12.0,10,Toro Rosso,Singapore
9.0,HUL,27,Renault,8.0,2019,15,Singapore,8.0,27,Renault,Singapore
10.0,GIO,99,Alfa Romeo Racing,10.0,2019,15,Singapore,11.0,99,Alfa Romeo Racing,Singapore
11.0,GRO,8,Haas F1 Team,17.0,2019,15,Singapore,17.0,8,Haas F1 Team,Singapore
12.0,SAI,55,McLaren,7.0,2019,15,Singapore,7.0,55,McLaren,Singapore
13.0,STR,18,Racing Point,16.0,2019,15,Singapore,16.0,18,Racing Point,Singapore
14.0,RIC,3,Renault,20.0,2019,15,Singapore,20.0,3,Renault,Singapore
15.0,KVY,26,Toro Rosso,14.0,2019,15,Singapore,15.0,26,Toro Rosso,Singapore
16.0,KUB,88,Williams,19.0,2019,15,Singapore,19.0,88,Williams,Singapore
17.0,MAG,20,Haas F1 Team,13.0,2019,15,Singapore,14.0,20,Haas F1 Team,Singapore
18.0,RAI,7,Alfa Romeo Racing,12.0,2019,15,Singapore,13.0,7,Alfa Romeo Racing,Singapore
19.0,PER,11,Racing Point,15.0,2019,15,Singapore,10.0,11,Racing Point,Singapore
20.0,RUS,63,Williams,18.0,2019,15,Singapore,18.0,63,Williams,Singapore
1.0,HAM,44,Mercedes,2.0,2019,16,Sochi,2.0,44,Mercedes,Sochi
2.0,BOT,77,Mercedes,4.0,2019,16,Sochi,5.0,77,Mercedes,Sochi
3.0,LEC,16,Ferrari,1.0,2019,16,Sochi,1.0,16,Ferrari,Sochi
4.0,VER,33,Red Bull Racing,9.0,2019,16,Sochi,4.0,33,Red Bull Racing,Sochi
5.0,ALB,23,Red Bull Racing,0.0,2019,16,Sochi,19.0,23,Red Bull Racing,Sochi
6.0,SAI,55,McLaren,5.0,2019,16,Sochi,6.0,55,McLaren,Sochi
7.0,PER,11,Racing Point,11.0,2019,16,Sochi,12.0,11,Racing Point,Sochi
8.0,NOR,4,McLaren,7.0,2019,16,Sochi,8.0,4,McLaren,Sochi
9.0,MAG,20,Haas F1 Team,13.0,2019,16,Sochi,14.0,20,Haas F1 Team,Sochi
10.0,HUL,27,Renault,6.0,2019,16,Sochi,7.0,27,Renault,Sochi
11.0,STR,18,Racing Point,14.0,2019,16,Sochi,15.0,18,Racing Point,Sochi
12.0,KVY,26,Toro Rosso,19.0,2019,16,Sochi,20.0,26,Toro Rosso,Sochi
13.0,RAI,7,Alfa Romeo Racing,15.0,2019,16,Sochi,16.0,7,Alfa Romeo Racing,Sochi
14.0,GAS,10,Toro Rosso,16.0,2019,16,Sochi,11.0,10,Toro Rosso,Sochi
15.0,GIO,99,Alfa Romeo Racing,12.0,2019,16,Sochi,13.0,99,Alfa Romeo Racing,Sochi
16.0,KUB,88,Williams,18.0,2019,16,Sochi,18.0,88,Williams,Sochi
17.0,RUS,63,Williams,17.0,2019,16,Sochi,17.0,63,Williams,Sochi
18.0,VET,5,Ferrari,3.0,2019,16,Sochi,3.0,5,Ferrari,Sochi
19.0,RIC,3,Renault,10.0,2019,16,Sochi,10.0,3,Renault,Sochi
20.0,GRO,8,Haas F1 Team,8.0,2019,16,Sochi,9.0,8,Haas F1 Team,Sochi
1.0,BOT,77,Mercedes,3.0,2019,17,Suzuka,3.0,77,Mercedes,Suzuka
2.0,VET,5,Ferrari,1.0,2019,17,Suzuka,1.0,5,Ferrari,Suzuka
3.0,HAM,44,Mercedes,4.0,2019,17,Suzuka,4.0,44,Mercedes,Suzuka
4.0,ALB,23,Red Bull Racing,6.0,2019,17,Suzuka,6.0,23,Red Bull Racing,Suzuka
5.0,SAI,55,McLaren,7.0,2019,17,Suzuka,7.0,55,McLaren,Suzuka
6.0,LEC,16,Ferrari,2.0,2019,17,Suzuka,2.0,16,Ferrari,Suzuka
7.0,GAS,10,Toro Rosso,9.0,2019,17,Suzuka,9.0,10,Toro Rosso,Suzuka
8.0,PER,11,Racing Point,17.0,2019,17,Suzuka,17.0,11,Racing Point,Suzuka
9.0,STR,18,Racing Point,12.0,2019,17,Suzuka,12.0,18,Racing Point,Suzuka
10.0,KVY,26,Toro Rosso,14.0,2019,17,Suzuka,14.0,26,Toro Rosso,Suzuka
11.0,NOR,4,McLaren,8.0,2019,17,Suzuka,8.0,4,McLaren,Suzuka
12.0,RAI,7,Alfa Romeo Racing,13.0,2019,17,Suzuka,13.0,7,Alfa Romeo Racing,Suzuka
13.0,GRO,8,Haas F1 Team,10.0,2019,17,Suzuka,10.0,8,Haas F1 Team,Suzuka
14.0,GIO,99,Alfa Romeo Racing,11.0,2019,17,Suzuka,11.0,99,Alfa Romeo Racing,Suzuka
15.0,MAG,20,Haas F1 Team,19.0,2019,17,Suzuka,19.0,20,Haas F1 Team,Suzuka
16.0,RUS,63,Williams,18.0,2019,17,Suzuka,18.0,63,Williams,Suzuka
17.0,KUB,88,Williams,0.0,2019,17,Suzuka,20.0,88,Williams,Suzuka
18.0,VER,33,Red Bull Racing,5.0,2019,17,Suzuka,5.0,33,Red Bull Racing,Suzuka
19.0,RIC,3,Renault,16.0,2019,17,Suzuka,16.0,3,Renault,Suzuka
20.0,HUL,27,Renault,15.0,2019,17,Suzuka,15.0,27,Renault,Suzuka
1.0,HAM,44,Mercedes,3.0,2019,18,Mexico City,4.0,44,Mercedes,Mexico City
2.0,VET,5,Ferrari,2.0,2019,18,Mexico City,3.0,5,Ferrari,Mexico City
3.0,BOT,77,Mercedes,6.0,2019,18,Mexico City,6.0,77,Mercedes,Mexico City
4.0,LEC,16,Ferrari,1.0,2019,18,Mexico City,2.0,16,Ferrari,Mexico City
5.0,ALB,23,Red Bull Racing,5.0,2019,18,Mexico City,5.0,23,Red Bull Racing,Mexico City
6.0,VER,33,Red Bull Racing,4.0,2019,18,Mexico City,1.0,33,Red Bull Racing,Mexico City
7.0,PER,11,Racing Point,11.0,2019,18,Mexico City,11.0,11,Racing Point,Mexico City
8.0,RIC,3,Renault,13.0,2019,18,Mexico City,13.0,3,Renault,Mexico City
9.0,GAS,10,Toro Rosso,10.0,2019,18,Mexico City,10.0,10,Toro Rosso,Mexico City
10.0,HUL,27,Renault,12.0,2019,18,Mexico City,12.0,27,Renault,Mexico City
11.0,KVY,26,Toro Rosso,9.0,2019,18,Mexico City,9.0,26,Toro Rosso,Mexico City
12.0,STR,18,Racing Point,16.0,2019,18,Mexico City,16.0,18,Racing Point,Mexico City
13.0,SAI,55,McLaren,7.0,2019,18,Mexico City,7.0,55,McLaren,Mexico City
14.0,GIO,99,Alfa Romeo Racing,15.0,2019,18,Mexico City,15.0,99,Alfa Romeo Racing,Mexico City
15.0,MAG,20,Haas F1 Team,17.0,2019,18,Mexico City,17.0,20,Haas F1 Team,Mexico City
16.0,RUS,63,Williams,19.0,2019,18,Mexico City,19.0,63,Williams,Mexico City
17.0,GRO,8,Haas F1 Team,18.0,2019,18,Mexico City,18.0,8,Haas F1 Team,Mexico City
18.0,KUB,88,Williams,20.0,2019,18,Mexico City,20.0,88,Williams,Mexico City
19.0,RAI,7,Alfa Romeo Racing,14.0,2019,18,Mexico City,14.0,7,Alfa Romeo Racing,Mexico City
20.0,NOR,4,McLaren,8.0,2019,18,Mexico City,8.0,4,McLaren,Mexico City
1.0,BOT,77,Mercedes,1.0,2019,19,Austin,1.0,77,Mercedes,Austin
2.0,HAM,44,Mercedes,5.0,2019,19,Austin,5.0,44,Mercedes,Austin
3.0,VER,33,Red Bull Racing,3.0,2019,19,Austin,3.0,33,Red Bull Racing,Austin
4.0,LEC,16,Ferrari,4.0,2019,19,Austin,4.0,16,Ferrari,Austin
5.0,ALB,23,Red Bull Racing,6.0,2019,19,Austin,6.0,23,Red Bull Racing,Austin
6.0,RIC,3,Renault,9.0,2019,19,Austin,9.0,3,Renault,Austin
7.0,NOR,4,McLaren,8.0,2019,19,Austin,8.0,4,McLaren,Austin
8.0,SAI,55,McLaren,7.0,2019,19,Austin,7.0,55,McLaren,Austin
9.0,HUL,27,Renault,11.0,2019,19,Austin,11.0,27,Renault,Austin
10.0,PER,11,Racing Point,0.0,2019,19,Austin,19.0,11,Racing Point,Austin
11.0,RAI,7,Alfa Romeo Racing,17.0,2019,19,Austin,17.0,7,Alfa Romeo Racing,Austin
12.0,KVY,26,Toro Rosso,13.0,2019,19,Austin,13.0,26,Toro Rosso,Austin
13.0,STR,18,Racing Point,14.0,2019,19,Austin,14.0,18,Racing Point,Austin
14.0,GIO,99,Alfa Romeo Racing,16.0,2019,19,Austin,16.0,99,Alfa Romeo Racing,Austin
15.0,GRO,8,Haas F1 Team,15.0,2019,19,Austin,15.0,8,Haas F1 Team,Austin
16.0,GAS,10,Toro Rosso,10.0,2019,19,Austin,10.0,10,Toro Rosso,Austin
17.0,RUS,63,Williams,18.0,2019,19,Austin,18.0,63,Williams,Austin
18.0,MAG,20,Haas F1 Team,12.0,2019,19,Austin,12.0,20,Haas F1 Team,Austin
19.0,KUB,88,Williams,19.0,2019,19,Austin,20.0,88,Williams,Austin
20.0,VET,5,Ferrari,2.0,2019,19,Austin,2.0,5,Ferrari,Austin
1.0,VER,33,Red Bull Racing,1.0,2019,20,São Paulo,1.0,33,Red Bull Racing,São Paulo
2.0,GAS,10,Toro Rosso,6.0,2019,20,São Paulo,7.0,10,Toro Rosso,São Paulo
3.0,SAI,55,McLaren,20.0,2019,20,São Paulo,20.0,55,McLaren,São Paulo
4.0,RAI,7,Alfa Romeo Racing,8.0,2019,20,São Paulo,9.0,7,Alfa Romeo Racing,São Paulo
5.0,GIO,99,Alfa Romeo Racing,12.0,2019,20,São Paulo,13.0,99,Alfa Romeo Racing,São Paulo
6.0,RIC,3,Renault,11.0,2019,20,São Paulo,12.0,3,Renault,São Paulo
7.0,HAM,44,Mercedes,3.0,2019,20,São Paulo,3.0,44,Mercedes,São Paulo
8.0,NOR,4,McLaren,10.0,2019,20,São Paulo,11.0,4,McLaren,São Paulo
9.0,PER,11,Racing Point,15.0,2019,20,São Paulo,15.0,11,Racing Point,São Paulo
10.0,KVY,26,Toro Rosso,16.0,2019,20,São Paulo,16.0,26,Toro Rosso,São Paulo
11.0,MAG,20,Haas F1 Team,9.0,2019,20,São Paulo,10.0,20,Haas F1 Team,São Paulo
12.0,RUS,63,Williams,18.0,2019,20,São Paulo,18.0,63,Williams,São Paulo
13.0,GRO,8,Haas F1 Team,7.0,2019,20,São Paulo,8.0,8,Haas F1 Team,São Paulo
14.0,ALB,23,Red Bull Racing,5.0,2019,20,São Paulo,6.0,23,Red Bull Racing,São Paulo
15.0,HUL,27,Renault,13.0,2019,20,São Paulo,14.0,27,Renault,São Paulo
16.0,KUB,88,Williams,19.0,2019,20,São Paulo,19.0,88,Williams,São Paulo
17.0,VET,5,Ferrari,2.0,2019,20,São Paulo,2.0,5,Ferrari,São Paulo
18.0,LEC,16,Ferrari,14.0,2019,20,São Paulo,4.0,16,Ferrari,São Paulo
19.0,STR,18,Racing Point,17.0,2019,20,São Paulo,17.0,18,Racing Point,São Paulo
20.0,BOT,77,Mercedes,4.0,2019,20,São Paulo,5.0,77,Mercedes,São Paulo
1.0,HAM,44,Mercedes,1.0,2019,21,Yas Island,1.0,44,Mercedes,Yas Island
2.0,VER,33,Red Bull Racing,2.0,2019,21,Yas Island,3.0,33,Red Bull Racing,Yas Island
3.0,LEC,16,Ferrari,3.0,2019,21,Yas Island,4.0,16,Ferrari,Yas Island
4.0,BOT,77,Mercedes,20.0,2019,21,Yas Island,2.0,77,Mercedes,Yas Island
5.0,VET,5,Ferrari,4.0,2019,21,Yas Island,5.0,5,Ferrari,Yas Island
6.0,ALB,23,Red Bull Racing,5.0,2019,21,Yas Island,6.0,23,Red Bull Racing,Yas Island
7.0,PER,11,Racing Point,10.0,2019,21,Yas Island,11.0,11,Racing Point,Yas Island
8.0,NOR,4,McLaren,6.0,2019,21,Yas Island,7.0,4,McLaren,Yas Island
9.0,KVY,26,Toro Rosso,13.0,2019,21,Yas Island,14.0,26,Toro Rosso,Yas Island
10.0,SAI,55,McLaren,8.0,2019,21,Yas Island,9.0,55,McLaren,Yas Island
11.0,RIC,3,Renault,7.0,2019,21,Yas Island,8.0,3,Renault,Yas Island
12.0,HUL,27,Renault,9.0,2019,21,Yas Island,10.0,27,Renault,Yas Island
13.0,RAI,7,Alfa Romeo Racing,17.0,2019,21,Yas Island,18.0,7,Alfa Romeo Racing,Yas Island
14.0,MAG,20,Haas F1 Team,14.0,2019,21,Yas Island,15.0,20,Haas F1 Team,Yas Island
15.0,GRO,8,Haas F1 Team,15.0,2019,21,Yas Island,16.0,8,Haas F1 Team,Yas Island
16.0,GIO,99,Alfa Romeo Racing,16.0,2019,21,Yas Island,17.0,99,Alfa Romeo Racing,Yas Island
17.0,RUS,63,Williams,18.0,2019,21,Yas Island,19.0,63,Williams,Yas Island
18.0,GAS,10,Toro Rosso,11.0,2019,21,Yas Island,12.0,10,Toro Rosso,Yas Island
19.0,KUB,88,Williams,19.0,2019,21,Yas Island,20.0,88,Williams,Yas Island
20.0,STR,18,Racing Point,12.0,2019,21,Yas Island,13.0,18,Racing Point,Yas Island
1.0,BOT,77,Mercedes,1.0,2020,1,Spielberg,1.0,77,Mercedes,Spielberg
2.0,LEC,16,Ferrari,7.0,2020,1,Spielberg,7.0,16,Ferrari,Spielberg
3.0,NOR,4,McLaren,3.0,2020,1,Spielberg,4.0,4,McLaren,Spielberg
4.0,HAM,44,Mercedes,5.0,2020,1,Spielberg,2.0,44,Mercedes,Spielberg
5.0,SAI,55,McLaren,8.0,2020,1,Spielberg,8.0,55,McLaren,Spielberg
6.0,PER,11,Racing Point,6.0,2020,1,Spielberg,6.0,11,Racing Point,Spielberg
7.0,GAS,10,AlphaTauri,12.0,2020,1,Spielberg,12.0,10,AlphaTauri,Spielberg
8.0,OCO,31,Renault,14.0,2020,1,Spielberg,14.0,31,Renault,Spielberg
9.0,GIO,99,Alfa Romeo Racing,18.0,2020,1,Spielberg,18.0,99,Alfa Romeo Racing,Spielberg
10.0,VET,5,Ferrari,11.0,2020,1,Spielberg,11.0,5,Ferrari,Spielberg
11.0,LAT,6,Williams,20.0,2020,1,Spielberg,20.0,6,Williams,Spielberg
12.0,KVY,26,AlphaTauri,13.0,2020,1,Spielberg,13.0,26,AlphaTauri,Spielberg
13.0,ALB,23,Red Bull Racing,4.0,2020,1,Spielberg,5.0,23,Red Bull Racing,Spielberg
14.0,RAI,7,Alfa Romeo Racing,19.0,2020,1,Spielberg,19.0,7,Alfa Romeo Racing,Spielberg
15.0,RUS,63,Williams,17.0,2020,1,Spielberg,17.0,63,Williams,Spielberg
16.0,GRO,8,Haas F1 Team,15.0,2020,1,Spielberg,15.0,8,Haas F1 Team,Spielberg
17.0,MAG,20,Haas F1 Team,16.0,2020,1,Spielberg,16.0,20,Haas F1 Team,Spielberg
18.0,STR,18,Racing Point,9.0,2020,1,Spielberg,9.0,18,Racing Point,Spielberg
19.0,RIC,3,Renault,10.0,2020,1,Spielberg,10.0,3,Renault,Spielberg
20.0,VER,33,Red Bull Racing,2.0,2020,1,Spielberg,3.0,33,Red Bull Racing,Spielberg
1.0,HAM,44,Mercedes,1.0,2020,2,Spielberg,1.0,44,Mercedes,Spielberg
2.0,BOT,77,Mercedes,4.0,2020,2,Spielberg,4.0,77,Mercedes,Spielberg
3.0,VER,33,Red Bull Racing,2.0,2020,2,Spielberg,2.0,33,Red Bull Racing,Spielberg
4.0,ALB,23,Red Bull Racing,6.0,2020,2,Spielberg,7.0,23,Red Bull Racing,Spielberg
5.0,NOR,4,McLaren,9.0,2020,2,Spielberg,6.0,4,McLaren,Spielberg
6.0,PER,11,Racing Point,17.0,2020,2,Spielberg,17.0,11,Racing Point,Spielberg
7.0,STR,18,Racing Point,12.0,2020,2,Spielberg,13.0,18,Racing Point,Spielberg
8.0,RIC,3,Renault,8.0,2020,2,Spielberg,9.0,3,Renault,Spielberg
9.0,SAI,55,McLaren,3.0,2020,2,Spielberg,3.0,55,McLaren,Spielberg
10.0,KVY,26,AlphaTauri,13.0,2020,2,Spielberg,14.0,26,AlphaTauri,Spielberg
11.0,RAI,7,Alfa Romeo Racing,16.0,2020,2,Spielberg,16.0,7,Alfa Romeo Racing,Spielberg
12.0,MAG,20,Haas F1 Team,15.0,2020,2,Spielberg,15.0,20,Haas F1 Team,Spielberg
13.0,GRO,8,Haas F1 Team,0.0,2020,2,Spielberg,20.0,8,Haas F1 Team,Spielberg
14.0,GIO,99,Alfa Romeo Racing,19.0,2020,2,Spielberg,19.0,99,Alfa Romeo Racing,Spielberg
15.0,GAS,10,AlphaTauri,7.0,2020,2,Spielberg,8.0,10,AlphaTauri,Spielberg
16.0,RUS,63,Williams,11.0,2020,2,Spielberg,12.0,63,Williams,Spielberg
17.0,LAT,6,Williams,18.0,2020,2,Spielberg,18.0,6,Williams,Spielberg
18.0,OCO,31,Renault,5.0,2020,2,Spielberg,5.0,31,Renault,Spielberg
19.0,LEC,16,Ferrari,14.0,2020,2,Spielberg,11.0,16,Ferrari,Spielberg
20.0,VET,5,Ferrari,10.0,2020,2,Spielberg,10.0,5,Ferrari,Spielberg
1.0,HAM,44,Mercedes,1.0,2020,3,Budapest,1.0,44,Mercedes,Budapest
2.0,VER,33,Red Bull Racing,7.0,2020,3,Budapest,7.0,33,Red Bull Racing,Budapest
3.0,BOT,77,Mercedes,2.0,2020,3,Budapest,2.0,77,Mercedes,Budapest
4.0,STR,18,Racing Point,3.0,2020,3,Budapest,3.0,18,Racing Point,Budapest
5.0,ALB,23,Red Bull Racing,13.0,2020,3,Budapest,13.0,23,Red Bull Racing,Budapest
6.0,VET,5,Ferrari,5.0,2020,3,Budapest,5.0,5,Ferrari,Budapest
7.0,PER,11,Racing Point,4.0,2020,3,Budapest,4.0,11,Racing Point,Budapest
8.0,RIC,3,Renault,11.0,2020,3,Budapest,11.0,3,Renault,Budapest
9.0,SAI,55,McLaren,9.0,2020,3,Budapest,9.0,55,McLaren,Budapest
10.0,MAG,20,Haas F1 Team,0.0,2020,3,Budapest,16.0,20,Haas F1 Team,Budapest
11.0,LEC,16,Ferrari,6.0,2020,3,Budapest,6.0,16,Ferrari,Budapest
12.0,KVY,26,AlphaTauri,17.0,2020,3,Budapest,17.0,26,AlphaTauri,Budapest
13.0,NOR,4,McLaren,8.0,2020,3,Budapest,8.0,4,McLaren,Budapest
14.0,OCO,31,Renault,14.0,2020,3,Budapest,14.0,31,Renault,Budapest
15.0,RAI,7,Alfa Romeo Racing,20.0,2020,3,Budapest,20.0,7,Alfa Romeo Racing,Budapest
16.0,GRO,8,Haas F1 Team,0.0,2020,3,Budapest,18.0,8,Haas F1 Team,Budapest
17.0,GIO,99,Alfa Romeo Racing,19.0,2020,3,Budapest,19.0,99,Alfa Romeo Racing,Budapest
18.0,RUS,63,Williams,12.0,2020,3,Budapest,12.0,63,Williams,Budapest
19.0,LAT,6,Williams,15.0,2020,3,Budapest,15.0,6,Williams,Budapest
20.0,GAS,10,AlphaTauri,10.0,2020,3,Budapest,10.0,10,AlphaTauri,Budapest
1.0,HAM,44,Mercedes,1.0,2020,4,Silverstone,1.0,44,Mercedes,Silverstone
2.0,VER,33,Red Bull Racing,3.0,2020,4,Silverstone,3.0,33,Red Bull Racing,Silverstone
3.0,LEC,16,Ferrari,4.0,2020,4,Silverstone,4.0,16,Ferrari,Silverstone
4.0,RIC,3,Renault,8.0,2020,4,Silverstone,8.0,3,Renault,Silverstone
5.0,NOR,4,McLaren,5.0,2020,4,Silverstone,5.0,4,McLaren,Silverstone
6.0,OCO,31,Renault,9.0,2020,4,Silverstone,9.0,31,Renault,Silverstone
7.0,GAS,10,AlphaTauri,11.0,2020,4,Silverstone,11.0,10,AlphaTauri,Silverstone
8.0,ALB,23,Red Bull Racing,12.0,2020,4,Silverstone,12.0,23,Red Bull Racing,Silverstone
9.0,STR,18,Racing Point,6.0,2020,4,Silverstone,6.0,18,Racing Point,Silverstone
10.0,VET,5,Ferrari,10.0,2020,4,Silverstone,10.0,5,Ferrari,Silverstone
11.0,BOT,77,Mercedes,2.0,2020,4,Silverstone,2.0,77,Mercedes,Silverstone
12.0,RUS,63,Williams,20.0,2020,4,Silverstone,15.0,63,Williams,Silverstone
13.0,SAI,55,McLaren,7.0,2020,4,Silverstone,7.0,55,McLaren,Silverstone
14.0,GIO,99,Alfa Romeo Racing,15.0,2020,4,Silverstone,17.0,99,Alfa Romeo Racing,Silverstone
15.0,LAT,6,Williams,18.0,2020,4,Silverstone,20.0,6,Williams,Silverstone
16.0,GRO,8,Haas F1 Team,17.0,2020,4,Silverstone,19.0,8,Haas F1 Team,Silverstone
17.0,RAI,7,Alfa Romeo Racing,16.0,2020,4,Silverstone,18.0,7,Alfa Romeo Racing,Silverstone
18.0,KVY,26,AlphaTauri,19.0,2020,4,Silverstone,14.0,26,AlphaTauri,Silverstone
19.0,MAG,20,Haas F1 Team,14.0,2020,4,Silverstone,16.0,20,Haas F1 Team,Silverstone
20.0,HUL,27,Racing Point,13.0,2020,4,Silverstone,13.0,27,Racing Point,Silverstone
1.0,VER,33,Red Bull Racing,4.0,2020,5,Silverstone,4.0,33,Red Bull Racing,Silverstone
2.0,HAM,44,Mercedes,2.0,2020,5,Silverstone,2.0,44,Mercedes,Silverstone
3.0,BOT,77,Mercedes,1.0,2020,5,Silverstone,1.0,77,Mercedes,Silverstone
